Method	MaxD	QC	CNV_Type	CNV_Size	TP	FP	FN	Sensitivity	PPV	FNR	FDR	F1	FMI	JI
BAF	1000	QCd	Deletions	Large	54	0	25	0.684	1	0.316	0	0.812	0.827	0.684
BAF	1000	QCd	Deletions	Very Large	43	0	1	0.977	1	0.023	0	0.989	0.989	0.977
BAF	1000	QCd	Deletions	Ultra Large	10	0	0	1	1	0	0	1	1	1
BAF	1000	QCd	Duplications	All	10600	701	49776	0.176	0.938	0.824	0.062	0.296	0.406	0.174
BAF	1000	QCd	Duplications	Small	6616	636	47538	0.122	0.912	0.878	0.088	0.215	0.334	0.121
BAF	1000	QCd	Duplications	Medium	3587	63	2166	0.624	0.983	0.376	0.017	0.763	0.783	0.617
BAF	1000	QCd	Duplications	Large	321	2	44	0.879	0.994	0.121	0.006	0.933	0.935	0.875
BAF	1000	QCd	Duplications	Very Large	72	0	28	0.72	1	0.28	0	0.837	0.849	0.72
BAF	1000	QCd	Duplications	Ultra Large	4	0	0	1	1	0	0	1	1	1
BAF	5000	Raw	All	All	69354	8120	142294	0.328	0.895	0.672	0.105	0.48	0.542	0.316
BAF	5000	Raw	All	Small	59409	7925	140179	0.298	0.882	0.702	0.118	0.445	0.512	0.286
BAF	5000	Raw	All	Medium	9221	191	2111	0.814	0.98	0.186	0.02	0.889	0.893	0.8
BAF	5000	Raw	All	Large	536	4	2	0.996	0.993	0.004	0.007	0.994	0.994	0.989
BAF	5000	Raw	All	Very Large	174	0	2	0.989	1	0.011	0	0.994	0.994	0.989
BAF	5000	Raw	All	Ultra Large	14	0	0	1	1	0	0	1	1	1
BAF	5000	Raw	Deletions	All	43972	3408	108963	0.288	0.928	0.712	0.072	0.439	0.517	0.281
BAF	5000	Raw	Deletions	Small	39620	3354	107834	0.269	0.922	0.731	0.078	0.416	0.498	0.263
BAF	5000	Raw	Deletions	Medium	4167	53	1127	0.787	0.987	0.213	0.013	0.876	0.882	0.779
BAF	5000	Raw	Deletions	Large	128	1	2	0.985	0.992	0.015	0.008	0.988	0.988	0.977
BAF	5000	Raw	Deletions	Very Large	47	0	0	1	1	0	0	1	1	1
BAF	5000	Raw	Deletions	Ultra Large	10	0	0	1	1	0	0	1	1	1
BAF	5000	Raw	Duplications	All	25382	4712	33331	0.432	0.843	0.568	0.157	0.572	0.604	0.4
BAF	5000	Raw	Duplications	Small	19789	4571	32345	0.38	0.812	0.62	0.188	0.517	0.555	0.349
BAF	5000	Raw	Duplications	Medium	5054	138	984	0.837	0.973	0.163	0.027	0.9	0.903	0.818
BAF	5000	Raw	Duplications	Large	408	3	0	1	0.993	0	0.007	0.996	0.996	0.993
BAF	5000	Raw	Duplications	Very Large	127	0	2	0.984	1	0.016	0	0.992	0.992	0.984
BAF	5000	Raw	Duplications	Ultra Large	4	0	0	1	1	0	0	1	1	1
